Date,Open,High,Low,Close,Adj Close,Volume
2017-06-16,2364.199951,2365.370117,2355.290039,2361.830078,2361.830078,329200
2017-06-19,2364.020020,2377.199951,2356.840088,2370.899902,2370.899902,290900
2017-06-20,2382.540039,2382.540039,2365.449951,2369.229980,2369.229980,360700
2017-06-21,2358.229980,2359.969971,2346.189941,2357.530029,2357.530029,360300
2017-06-22,2364.219971,2370.389893,2354.100098,2370.370117,2370.370117,299200
2017-06-23,2371.540039,2380.939941,2369.169922,2378.600098,2378.600098,256300
2017-06-26,2381.090088,2390.699951,2377.879883,2388.659912,2388.659912,325700
2017-06-27,2386.760010,2397.139893,2383.469971,2391.949951,2391.949951,358000
2017-06-28,2382.909912,2390.889893,2380.750000,2382.560059,2382.560059,361200
2017-06-29,2396.810059,2402.800049,2393.570068,2395.659912,2395.659912,445100
2017-06-30,2382.149902,2391.810059,2381.399902,2391.790039,2391.790039,343500
2017-07-03,2397.659912,2399.899902,2384.550049,2394.479980,2394.479980,311000
2017-07-04,2395.239990,2398.020020,2376.409912,2380.520020,2380.520020,411800
2017-07-05,2377.010010,2390.290039,2375.629883,2388.350098,2388.350098,333700
2017-07-06,2390.310059,2392.500000,2380.820068,2387.810059,2387.810059,301500
2017-07-07,2376.290039,2385.020020,2372.830078,2379.870117,2379.870117,314400
2017-07-10,2386.300049,2389.870117,2378.040039,2382.100098,2382.100098,296300
2017-07-11,2386.419922,2396.459961,2382.689941,2396.000000,2396.000000,284500
2017-07-12,2395.409912,2399.280029,2390.449951,2391.770020,2391.770020,268900
2017-07-13,2405.760010,2422.260010,2402.919922,2409.489990,2409.489990,289300
2017-07-14,2418.270020,2421.479980,2411.340088,2414.629883,2414.629883,258800
2017-07-17,2427.760010,2430.340088,2419.909912,2425.100098,2425.100098,254200
2017-07-18,2425.070068,2426.159912,2419.169922,2426.040039,2426.040039,260700
2017-07-19,2430.090088,2430.090088,2419.639893,2429.939941,2429.939941,271000
2017-07-20,2436.060059,2443.689941,2427.949951,2441.840088,2441.840088,251900
2017-07-21,2438.780029,2451.590088,2437.840088,2450.060059,2450.060059,250100
2017-07-24,2451.409912,2451.530029,2443.649902,2451.530029,2451.530029,233400
2017-07-25,2450.760010,2453.169922,2437.139893,2439.899902,2439.899902,275200
2017-07-26,2446.820068,2446.959961,2429.620117,2434.510010,2434.510010,336100
2017-07-27,2443.280029,2448.239990,2435.489990,2443.239990,2443.239990,426500
2017-07-28,2433.459961,2434.379883,2399.060059,2400.989990,2400.989990,318700
2017-07-31,2392.020020,2403.899902,2388.389893,2402.709961,2402.709961,277600
2017-08-01,2397.120117,2432.620117,2394.270020,2422.959961,2422.959961,264000
2017-08-02,2431.939941,2434.469971,2424.179932,2427.629883,2427.629883,261600
2017-08-03,2423.209961,2423.550049,2374.110107,2386.850098,2386.850098,303600
2017-08-04,2389.739990,2400.330078,2383.449951,2395.449951,2395.449951,273600
2017-08-07,2402.570068,2412.129883,2395.739990,2398.750000,2398.750000,244100
2017-08-08,2404.679932,2410.219971,2383.939941,2394.729980,2394.729980,252900
2017-08-09,2379.699951,2387.530029,2366.330078,2368.389893,2368.389893,234100
2017-08-10,2360.949951,2371.500000,2339.060059,2359.469971,2359.469971,283900
2017-08-11,2323.060059,2335.120117,2310.199951,2319.709961,2319.709961,318600
2017-08-14,2336.020020,2341.780029,2327.800049,2334.219971,2334.219971,214000
2017-08-16,2355.739990,2358.459961,2343.719971,2348.260010,2348.260010,270500
2017-08-17,2351.610107,2364.500000,2346.739990,2361.669922,2361.669922,255800
2017-08-18,2340.189941,2362.429932,2340.189941,2358.370117,2358.370117,201500
2017-08-21,2363.379883,2363.379883,2351.959961,2355.000000,2355.000000,207200
2017-08-22,2360.290039,2369.020020,2359.969971,2365.330078,2365.330078,251900
2017-08-23,2376.530029,2379.590088,2360.709961,2366.399902,2366.399902,228600
2017-08-24,2370.120117,2382.719971,2368.290039,2375.840088,2375.840088,295500
2017-08-25,2381.469971,2384.590088,2372.669922,2378.510010,2378.510010,342000
2017-08-28,2376.379883,2383.459961,2366.229980,2370.300049,2370.300049,226900
2017-08-29,2356.199951,2364.739990,2332.850098,2364.739990,2364.739990,223100
2017-08-30,2368.129883,2372.290039,2363.429932,2372.290039,2372.290039,305600
2017-08-31,2373.959961,2377.020020,2355.290039,2363.189941,2363.189941,265100
2017-09-01,2367.449951,2370.250000,2351.370117,2357.689941,2357.689941,280100
2017-09-04,null,null,null,null,null,null
2017-09-05,2340.620117,2340.620117,2319.939941,2326.620117,2326.620117,320400
2017-09-06,2324.840088,2325.560059,2314.310059,2319.820068,2319.820068,252700
2017-09-07,2328.939941,2349.790039,2328.919922,2346.189941,2346.189941,277000
2017-09-08,2350.189941,2351.729980,2340.629883,2343.719971,2343.719971,214600
2017-09-11,2354.860107,2369.719971,2354.350098,2359.080078,2359.080078,243600
2017-09-12,2372.020020,2372.449951,2359.120117,2365.469971,2365.469971,333600
2017-09-13,2370.540039,2373.610107,2360.169922,2360.179932,2360.179932,318900
2017-09-14,2365.540039,2377.659912,2358.429932,2377.659912,2377.659912,314300
2017-09-15,2368.439941,2386.070068,2365.370117,2386.070068,2386.070068,298700
2017-09-18,2390.580078,2418.239990,2389.649902,2418.209961,2418.209961,273500
2017-09-19,2419.300049,2422.050049,2411.679932,2416.050049,2416.050049,254600
2017-09-20,2420.820068,2429.120117,2405.780029,2412.199951,2412.199951,303300
2017-09-21,2412.010010,2415.129883,2401.889893,2406.500000,2406.500000,335300
2017-09-25,2388.770020,2392.439941,2374.689941,2380.399902,2380.399902,339300
2017-09-26,2371.620117,2381.310059,2365.340088,2374.320068,2374.320068,319100
2017-09-27,2376.889893,2377.179932,2368.919922,2372.570068,2372.570068,202600
2017-09-28,2374.100098,2379.540039,2365.669922,2373.139893,2373.139893,194800
2017-09-29,2378.659912,2394.469971,2378.659912,2394.469971,2394.469971,184200
2017-10-10,2425.629883,2443.199951,2421.100098,2433.810059,2433.810059,221700
2017-10-11,2442.489990,2458.159912,2439.810059,2458.159912,2458.159912,201800
2017-10-12,2461.699951,2474.760010,2459.479980,2474.760010,2474.760010,256200
2017-10-13,2473.649902,2479.729980,2468.139893,2473.620117,2473.620117,234800
2017-10-16,2483.169922,2487.709961,2470.239990,2480.050049,2480.050049,224400
2017-10-17,2484.959961,2487.879883,2478.760010,2484.370117,2484.370117,199000
2017-10-18,2481.530029,2490.580078,2475.669922,2482.909912,2482.909912,244200
2017-10-19,2485.719971,2490.939941,2468.669922,2473.060059,2473.060059,236600
2017-10-20,2477.300049,2489.540039,2476.879883,2489.540039,2489.540039,313200
2017-10-23,2497.649902,2500.330078,2485.479980,2490.050049,2490.050049,274200
2017-10-24,2489.310059,2497.350098,2487.169922,2490.489990,2490.489990,232000
2017-10-25,2495.870117,2497.409912,2481.479980,2492.500000,2492.500000,599400
2017-10-26,2489.600098,2495.989990,2480.629883,2480.629883,2480.629883,646900
2017-10-27,2485.439941,2499.149902,2479.669922,2496.629883,2496.629883,511200
2017-10-30,2513.870117,2513.870117,2497.419922,2501.929932,2501.929932,342000
2017-10-31,2500.209961,2528.320068,2498.050049,2523.429932,2523.429932,313800
2017-11-01,2535.969971,2556.469971,2535.830078,2556.469971,2556.469971,361800
2017-11-02,2560.340088,2561.629883,2542.020020,2546.360107,2546.360107,527700
2017-11-03,2558.370117,2558.370117,2539.719971,2557.969971,2557.969971,292800
2017-11-06,2557.290039,2559.899902,2529.939941,2549.409912,2549.409912,221200
2017-11-07,2548.300049,2554.129883,2540.669922,2545.439941,2545.439941,253900
2017-11-08,2534.479980,2558.739990,2533.729980,2552.399902,2552.399902,277000
2017-11-09,2559.929932,2559.929932,2536.540039,2550.570068,2550.570068,293500
2017-11-10,2541.179932,2547.610107,2534.600098,2542.949951,2542.949951,291500
2017-11-13,2548.270020,2552.280029,2527.199951,2530.350098,2530.350098,266500
2017-11-14,2532.550049,2532.949951,2520.989990,2526.639893,2526.639893,287800
2017-11-15,2525.600098,2526.610107,2511.760010,2518.250000,2518.250000,398200
2017-11-16,null,null,null,null,null,null
2017-11-17,2546.050049,2559.100098,2533.989990,2533.989990,2533.989990,362200
2017-11-20,2536.800049,2542.620117,2523.520020,2527.669922,2527.669922,404300
2017-11-21,2533.850098,2539.879883,2525.959961,2530.699951,2530.699951,484900
2017-11-22,2546.610107,2553.219971,2535.189941,2540.510010,2540.510010,485700
2017-11-23,null,null,null,null,null,null
2017-11-24,2539.790039,2544.330078,2533.979980,2544.330078,2544.330078,297900
2017-11-27,2544.739990,2546.709961,2506.689941,2507.810059,2507.810059,284900
2017-11-28,2512.520020,2521.060059,2500.929932,2514.189941,2514.189941,348200
2017-11-29,2517.260010,2524.409912,2508.659912,2512.899902,2512.899902,301200
2017-11-30,2502.219971,2506.320068,2474.280029,2476.370117,2476.370117,339000
2017-12-01,2488.919922,2488.919922,2472.750000,2475.409912,2475.409912,288600
2017-12-04,2486.719971,2501.669922,2476.290039,2501.669922,2501.669922,323800
2017-12-05,2490.729980,2513.679932,2487.149902,2510.120117,2510.120117,395400
2017-12-06,2510.189941,2510.469971,2474.290039,2474.370117,2474.370117,507600
2017-12-07,2479.550049,2480.850098,2452.399902,2461.979980,2461.979980,404900
2017-12-08,2470.090088,2473.169922,2459.020020,2464.000000,2464.000000,406400
2017-12-11,2467.810059,2471.989990,2457.979980,2471.489990,2471.489990,240100
2017-12-12,2471.229980,2471.429932,2455.389893,2461.000000,2461.000000,281200
2017-12-13,2462.419922,2481.919922,2457.699951,2480.550049,2480.550049,255000
2017-12-14,2486.570068,2514.610107,2469.479980,2469.479980,2469.479980,317800
2017-12-15,2488.389893,2495.080078,2475.989990,2482.070068,2482.070068,340800
2017-12-18,2488.830078,2488.830078,2477.290039,2481.879883,2481.879883,322800
2017-12-19,2487.830078,2498.669922,2470.489990,2478.530029,2478.530029,308400
2017-12-21,2471.340088,2471.729980,2429.830078,2429.830078,2429.830078,247300
2017-12-22,2437.590088,2444.570068,2426.939941,2440.540039,2440.540039,230400
2017-12-26,2447.669922,2457.189941,2427.340088,2427.340088,2427.340088,224600
2017-12-27,2420.860107,2436.679932,2411.479980,2436.669922,2436.669922,194900
2017-12-28,2439.310059,2467.510010,2437.260010,2467.489990,2467.489990,220300
2018-01-02,null,null,null,null,null,null
2018-01-03,2484.629883,2493.399902,2481.909912,2486.350098,2486.350098,331100
2018-01-04,2502.500000,2502.500000,2466.449951,2466.459961,2466.459961,333800
2018-01-05,2476.850098,2497.520020,2475.510010,2497.520020,2497.520020,308800
2018-01-08,2510.699951,2515.370117,2494.179932,2513.280029,2513.280029,311400
2018-01-09,2510.729980,2524.729980,2498.409912,2510.229980,2510.229980,374300
2018-01-10,2516.330078,2516.820068,2493.979980,2499.750000,2499.750000,444000
2018-01-11,2496.860107,2502.520020,2483.820068,2487.909912,2487.909912,444300
2018-01-12,2499.870117,2500.870117,2482.149902,2496.419922,2496.419922,438800
2018-01-15,2510.969971,2513.300049,2496.179932,2503.729980,2503.729980,404600
2018-01-16,2504.159912,2524.550049,2498.550049,2521.739990,2521.739990,341600
2018-01-17,2517.189941,2521.969971,2506.489990,2515.429932,2515.429932,336700
2018-01-18,2527.669922,2532.080078,2512.689941,2515.810059,2515.810059,333100
2018-01-19,2519.669922,2524.330078,2513.090088,2520.260010,2520.260010,351800
